key	surface	english	sv
achievement.airport-sprint.description	achievements	Finish Airport in under 17 seconds.	
achievement.airport-sprint.recommendation	achievements	Recommended: Future Racer	
achievement.cliffside-sprint.title	achievements	CLIFFSIDE SPRINT	
achievement.cliffside-sprint.description	achievements	Finish Cliffside in under 15 seconds.	
achievement.cliffside-sprint.recommendation	achievements	Recommended: Future Racer	
achievement.harbor-sprint.title	achievements	HARBOR SPRINT	
achievement.harbor-sprint.description	achievements	Finish Harbor in under 24 seconds.	
achievement.harbor-sprint.recommendation	achievements	Recommended: Future Racer	
achievement.midnight-sprint.title	achievements	MIDNIGHT SPRINT	
achievement.midnight-sprint.description	achievements	Finish Midnight City in under 53 seconds.	
achievement.midnight-sprint.recommendation	achievements	Recommended: Future Racer	
achievement.mountain-sprint.title	achievements	MOUNTAIN SPRINT	
achievement.mountain-sprint.description	achievements	Finish Mountain in under 27 seconds.	
achievement.mountain-sprint.recommendation	achievements	Recommended: Future Racer	
achievement.faster-than-dev.title	achievements	FASTER THAN THE DEV	
achievement.faster-than-dev.description	achievements	Beat every developer target time.	
achievement.faster-than-dev.recommendation	achievements	The target times were set with the Future Racer.	
achievement.chromatic-camouflage.title	achievements	CHROMATIC CAMOUFLAGE	
achievement.chromatic-camouflage.description	achievements	Set your personal best on every track in a car painted to match that track.	
achievement.mayday.title	achievements	MAYDAY!	
achievement.mayday.description	achievements	In the Ambulance, answer the Airport MAYDAY with sirens and deliver the patient to the terminal medical bay within 30 seconds.	
achievement.got-started.title	achievements	GOT STARTED	
achievement.got-started.description	achievements	Finish all Getting Started achievements.	
achievement.winner.countryside.title	achievements	COUNTRYSIDE WINNER	
achievement.winner.countryside.description	achievements	Finish first against four saved rivals on Countryside.	
achievement.safety.countryside.title	achievements	COUNTRYSIDE SAFETY	
achievement.safety.countryside.description	achievements	Finish Countryside without going off-road in under 0:30.	
achievement.winner.airport.title	achievements	AIRPORT WINNER	
achievement.winner.airport.description	achievements	Finish first against four saved rivals on Airport.	
achievement.safety.airport.title	achievements	AIRPORT SAFETY	
achievement.safety.airport.description	achievements	Finish Airport without going off-road in under 0:30.	
achievement.winner.cliffside.title	achievements	CLIFFSIDE WINNER	
achievement.winner.cliffside.description	achievements	Finish first against four saved rivals on Cliffside.	
achievement.safety.cliffside.title	achievements	CLIFFSIDE SAFETY	
achievement.safety.cliffside.description	achievements	Finish Cliffside without going off-road in under 0:30.	
achievement.winner.harbor.title	achievements	HARBOR WINNER	
achievement.winner.harbor.description	achievements	Finish first against four saved rivals on Harbor.	
achievement.safety.harbor.title	achievements	HARBOR SAFETY	
achievement.safety.harbor.description	achievements	Finish Harbor without going off-road in under 1:00.	
achievement.winner.midnight-city.title	achievements	MIDNIGHT CITY WINNER	
achievement.winner.midnight-city.description	achievements	Finish first against four saved rivals on Midnight City.	
achievement.safety.midnight-city.title	achievements	MIDNIGHT CITY SAFETY	
achievement.safety.midnight-city.description	achievements	Finish Midnight City without going off-road in under 2:00.	
achievement.winner.mountain.title	achievements	MOUNTAIN WINNER	
achievement.winner.mountain.description	achievements	Finish first against four saved rivals on Mountain.	
achievement.safety.mountain.title	achievements	MOUNTAIN SAFETY	
achievement.safety.mountain.description	achievements	Finish Mountain without going off-road in under 1:50.	
achievements.trigger	achievements	ACHIEVEMENTS	
achievements.trigger.aria	achievements	Achievements	
achievements.trigger.new.aria	achievements	Achievements, {count} new {itemWord}	
achievements.kicker	achievements	YOUR PROGRESS	
achievements.title	achievements	ACHIEVEMENTS	
achievements.close.aria	achievements	Close Achievements	
achievements.summary	achievements	{unlocked} OF {total} UNLOCKED	
achievements.trophyRoad.progress.aria	achievements	Trophy Road progress	
achievements.trophyRoad.rewards.aria	achievements	Trophy Road rewards	
achievements.trophies	achievements	TROPHIES	
achievements.completion	achievements	COMPLETION	
achievements.storageUnavailable	achievements	Achievement progress is available for this session but cannot be saved because local storage is unavailable.	
achievements.filters.aria	achievements	Achievement filters	
achievements.filter.all	achievements	ALL	
achievements.filter.gettingStarted	achievements	GETTING STARTED	
achievements.filter.timeTrials	achievements	TIME TRIALS	
achievements.filter.unlocked	achievements	UNLOCKED	
achievements.status.unlocked	achievements	UNLOCKED	
achievements.status.inProgress	achievements	IN PROGRESS	
achievements.status.locked	achievements	LOCKED	
achievements.card.trophies	achievements	{category} · {trophies} trophies	
achievements.card.progress	achievements	{progress} of {maximum}	
achievements.card.progress.aria	achievements	{achievementTitle} progress	
achievements.card.unlockedContext	achievements	Unlocked · {context}	
achievements.road.valueNext	achievements	{total} trophies. {remaining} trophies until {rewardName}.	
achievements.road.valueComplete	achievements	{total} trophies. Every current Trophy Road reward is unlocked.	
achievements.road.marker.aria	achievements	{rewardName}. {threshold} trophies. {state}	
achievements.road.detailUnlocked	achievements	{threshold} TROPHIES · UNLOCKED	
achievements.road.detailRemaining	achievements	{threshold} TROPHIES · {remaining} TO GO	
achievements.toast.one	achievements	ACHIEVEMENT UNLOCKED	
achievements.toast.many	achievements	{count} ACHIEVEMENTS UNLOCKED	
achievements.toast.more	achievements	{firstTitle} + {remaining} MORE	
achievements.toast.trophies	achievements	+{trophies} TROPHIES	
achievements.toast.rewardOne	achievements	TROPHY ROAD REWARD	
achievements.toast.rewardMany	achievements	{count} TROPHY ROAD REWARDS	
achievements.toast.rewardUnlocked	achievements	UNLOCKED	
achievements.toast.ariaOne	achievements	Achievement unlocked. {titles}. {trophies} trophies.	
achievements.toast.ariaMany	achievements	{count} achievements unlocked. {titles}. {trophies} trophies.	
achievements.toast.rewardAriaOne	achievements	Trophy Road reward unlocked. {rewardNames}.	
achievements.toast.rewardAriaMany	achievements	{count} Trophy Road rewards unlocked. {rewardNames}.	
trophyRoad.vintage-racer.title	trophy-road	VINTAGE RACER	
trophyRoad.vintage-racer.short	trophy-road	Vintage Racer	
trophyRoad.vintage-racer.description	trophy-road	Unlock the Vintage Racer: the car for linking corners beautifully. DRIFTAGE: DRIFT drains less speed, steering becomes more aggressive and it can hold larger slip angles.	
trophyRoad.midnight-city.title	trophy-road	MIDNIGHT CITY	
trophyRoad.midnight-city.short	trophy-road	Midnight City	
trophyRoad.midnight-city.description	trophy-road	Unlock TURN’s night-time city track, with neon streets, technical corners and the longest lap in the current track collection.	
trophyRoad.future-racer.title	trophy-road	FUTURE RACER	
trophyRoad.future-racer.short	trophy-road	Future Racer	
trophyRoad.future-racer.description	trophy-road	Unlock the Future Racer: built for advanced time trials. OVERDRIVE: 5 clean seconds builds +6% top speed; off-road or hits reset.	
trophyRoad.emergency-pack.title	trophy-road	EMERGENCY!	
trophyRoad.emergency-pack.short	trophy-road	Emergency Pack	
trophyRoad.emergency-pack.description	trophy-road	Unlock the Fire Truck, Ambulance and Police Car. All three have maximum Boost tanks. SIRENS: Boost activates flashing emergency lights and sirens.	
trophyRoad.mountain.title	trophy-road	MOUNTAIN	
trophyRoad.mountain.short	trophy-road	Mountain	
trophyRoad.mountain.description	trophy-road	Unlock MOUNTAIN: leave a snowy village on a long alpine climb, round the summit river and attack the front-face hairpin descent beside the waterfall.	
trophyRoad.monster.title	trophy-road	MONSTER	
trophyRoad.monster.short	trophy-road	Monster Truck	
trophyRoad.monster.description	trophy-road	Unlock the Monster Truck: a military-green heavyweight. OVERSIZED: Going off-road doesn’t slow it down.	
trophyRoad.paintjob.title	trophy-road	PAINTJOB	
trophyRoad.paintjob.short	trophy-road	Paintjob	
trophyRoad.paintjob.description	trophy-road	Unlock body and secondary paint controls in The Lot. Every vehicle keeps its own distinctive factory colour until then.	
trophyRoad.rally-racer.title	trophy-road	RALLY RACER	
trophyRoad.rally-racer.short	trophy-road	Rally Racer	
trophyRoad.rally-racer.description	trophy-road	Unlock the Rally Racer: twitchy and perfect for curvy tracks. TWITCHY TURNY: DRIFT fills BOOST even faster than normal.	
trophyRoad.locked.badge	trophy-road	LOCKED · {threshold} TROPHIES	
trophyRoad.locked.notice	trophy-road	{rewardName} unlocks on Trophy Road. Complete achievements to reach {threshold} trophies.	
trophyRoad.locked.aria	trophy-road	{rewardName} is locked. Unlocks at {threshold} trophies on Trophy Road.	
training.part1.title	training	Find the ribbon	
training.part1.summary	training	Centre the warm guiding hum on a long straight.	
training.part1.lead	training	The warm continuous hum is steering guidance. You begin to the right of the best route. Steer toward the hum until it settles in the centre, then keep it there to the finish.	
training.part1.hint	training	The yellow guide rails behave like slippery ice rails: they gently guide the car back without stopping it.	
training.part2.title	training	Listen ahead	
training.part2.summary	training	Hear one gentle right and one broader left before they begin.	
training.part2.lead	training	The sharp directional BIPs are pace notes. The ear gives the turn side and the count gives its severity. This course has one gentle right followed later by one broader two-BIP left.	
training.part2.hint	training	Both cues play on the long approach before their curve. The guide rails remain so you can focus on matching sound to road.	
training.part3.title	training	Leave and return	
training.part3.summary	training	Use gravel and recovery guidance to rejoin, then hear one right.	
training.part3.lead	training	You begin just off the right side of the road. Centred gravel confirms the surface; the warm recovery hum points toward a useful place to rejoin. After the long straight, one BIP in the right ear announces the gentle right.	
training.part3.hint	training	There are no visible rails along the road. A wider invisible safety zone only intervenes if you travel far away.	
training.part4.title	training	Trust the sequence	
training.part4.summary	training	Recognise BIP BIP BEEP before one long tight left.	
training.part4.lead	training	BIP BIP BEEP describes one long tight curve: three sounds mean tight, and the held final BEEP means the same curve continues. Hear the complete phrase in the left ear before the single long left begins.	
training.part4.hint	training	This spacious course contains one uninterrupted curve and no road overlap. Try Blank screen mode when the phrase feels clear.	
training.part5.title	training	Drive by ear	
training.part5.summary	training	Combine the ribbon with a linked right–left pace-note sequence.	
training.part5.lead	training	Put it together on a spacious course. After the first gentle right, listen for a linked sequence: BIP BIP in the right ear, then BIP BEEP in the left for the long curve immediately after it. Use gravel plus recovery guidance if you leave the road.	
training.part5.hint	training	The final two curves follow closely without crossing the route. Try Blank screen mode, or keep the course visible and repeat any part from the navigation controls.	
training.kicker	training	FIVE GUIDED PARTS	
training.title	training	DRIVE BY EAR 101	
training.title.spoken	training	Drive By Ear one oh one	
training.close.aria	training	Close Drive By Ear 101	
training.close.spoken	training	Close Drive By Ear one oh one	
training.intro	training	Learn TURN's spatial guidance one layer at a time. Training temporarily uses the Training Car and puts Drive By Ear at 95% of the sound mix. Your car and audio choices return when you leave.	
training.soundRoles.title	training	Know which sound is speaking	
training.soundRoles.guidance	training	Steering guidance — The warm continuous hum points toward the route. Steer toward it.	
training.soundRoles.pace	training	Pace notes — Sharp directional BIPs play before curves. The ear gives the turn side, the count gives severity, and a held final BEEP means the curve continues.	
training.soundRoles.status	training	Status and safety — Engine, tyres, gravel and BOOST describe the car or surface. The short maximum-steering two-tone means you have reached the steering limit. These sounds are not corner instructions.	
training.choosePart.aria	training	Choose a training part	
training.visual	training	The screen stays on while you learn. Later parts invite you to try Blank screen mode.	
training.cancel	training	CANCEL	
training.start	training	START PART {part}	
training.partHud	training	PART {part} OF {total}	
training.previous	training	‹ PREVIOUS	
training.restart	training	RESTART PART	
training.next	training	NEXT ›	
training.previous.aria	training	Previous: Part {part}, {title}	
training.previous.none.aria	training	No previous training part	
training.restart.aria	training	Restart Part {part}, {title}	
training.next.aria	training	Next: Part {part}, {title}	
training.next.none.aria	training	No next training part	
training.nav.aria	training	Training part navigation	
training.leave	training	LEAVE TRAINING	
training.leave.aria	training	Leave Drive By Ear 101	
training.leave.spoken	training	Leave Drive By Ear one oh one	
training.complete.kicker	training	TRAINING	
training.complete.title	training	DRIVE BY EAR	
training.complete.body	training	You have heard the guiding ribbon, pace notes, status sounds and off-road recovery work together. Train again whenever you want, then take the same sound language onto any TURN track.	
training.returnHome	training	RETURN HOME	
training.returnHome.aria	training	Return Home	
training.trainAgain	training	TRAIN AGAIN	
training.home.title	training	DRIVE BY EAR 101	
training.home.subtitle	training	Learn by listening.	
training.home.body	training	Try five short guided parts covering the ribbon, pace notes, status sounds and off-road recovery.	
training.home.start	training	START DRIVE BY EAR 101	
training.home.start.spoken	training	Start Drive By Ear one oh one	
training.home.prompt	training	New to these sounds?	
training.home.try	training	TRY DRIVE BY EAR 101	
training.home.try.spoken	training	Try Drive By Ear one oh one	
training.balanceStatus	training	Drive By Ear is prominent in the sound mix. Drive By Ear 101 can help you recognise its guidance.	
training.blank.kicker	training	BLANK SCREEN MODE	
training.blank.title	training	DRIVE BY EAR	
training.blank.close.aria	training	Close training suggestion	
training.blank.body	training	Blank screen mode lets you drive using sound. Drive By Ear 101 introduces the ribbon, pace notes, status sounds and off-road recovery before you rely on them in a race.	
training.blank.continue	training	CONTINUE	
training.blank.try	training	TRY TRAINING	
training.completeNext	training	PART {part} COMPLETE · NEXT: PART {nextPart}	
training.repeatPart	training	REPEAT PART {part}	
training.speech.1	training	Part one, Find the ribbon. Steer toward the warm guiding hum and keep it centred.	
training.speech.2	training	Part two, Listen ahead. Follow the guiding hum and listen for one right pace note, then a broader two-BIP left.	
training.speech.3	training	Part three, Leave and return. You start off-road. Use gravel and the warm recovery hum to rejoin, then listen for one right pace note.	
training.speech.4	training	Part four, Trust the sequence. Listen for BIP BIP BEEP in the left ear before the long tight left.	
training.speech.5	training	Part five, Drive by ear. Combine the guiding hum with the right-left pace-note sequence, and recover by sound if you leave the road.	
speech.cardinal.0	speech	zero	
speech.cardinal.1	speech	one	
speech.cardinal.2	speech	two	
speech.cardinal.3	speech	three	
speech.cardinal.4	speech	four	
speech.cardinal.5	speech	five	
speech.cardinal.6	speech	six	
speech.cardinal.7	speech	seven	
speech.cardinal.8	speech	eight	
speech.cardinal.9	speech	nine	
speech.cardinal.10	speech	ten	
speech.cardinal.11	speech	eleven	
speech.cardinal.12	speech	twelve	
speech.cardinal.13	speech	thirteen	
speech.cardinal.14	speech	fourteen	
speech.cardinal.15	speech	fifteen	
speech.cardinal.16	speech	sixteen	
speech.cardinal.17	speech	seventeen	
speech.cardinal.18	speech	eighteen	
speech.cardinal.19	speech	nineteen	
speech.cardinal.20	speech	twenty	
speech.ordinal.0	speech	zeroth	
speech.ordinal.1	speech	first	
speech.ordinal.2	speech	second	
speech.ordinal.3	speech	third	
speech.ordinal.4	speech	fourth	
speech.ordinal.5	speech	fifth	
speech.ordinal.6	speech	sixth	
speech.ordinal.7	speech	seventh	
speech.ordinal.8	speech	eighth	
speech.ordinal.9	speech	ninth	
speech.ordinal.10	speech	tenth	
speech.ordinal.11	speech	eleventh	
speech.ordinal.12	speech	twelfth	
speech.ordinal.13	speech	thirteenth	
speech.ordinal.14	speech	fourteenth	
speech.ordinal.15	speech	fifteenth	
speech.ordinal.16	speech	sixteenth	
speech.ordinal.17	speech	seventeenth	
speech.ordinal.18	speech	eighteenth	
speech.ordinal.19	speech	nineteenth	
speech.ordinal.20	speech	twentieth	
speech.position	speech	{ordinalPosition} of {cardinalTotal}	
speech.rival.one	speech	{countWord} rival	
speech.rival.many	speech	{countWord} rivals	
speech.noTime	speech	no time	
speech.minute.one	speech	{countWord} minute	
speech.minute.many	speech	{countWord} minutes	
speech.second.one	speech	{countWord} second	
speech.second.many	speech	{countWord} seconds	
speech.decimalSeconds	speech	{secondsWord} point {decimalDigits} seconds	
speech.lapResult	speech	Lap. Position: {ordinalPosition}. Time: {spokenTime}.	
speech.lapVoid.track	speech	Lap void. Stay on the track.	
speech.lapVoid.generic	speech	Lap void. Try again.	
speech.positionLabel	speech	Position, {spokenPosition}	
speech.lapTimeLabel	speech	Lap time, {spokenLapTime}	
lapToast.aria	race	Lap result	
lapToast.lap	race	LAP	
lapToast.void	race	LAP VOID	
lapToast.stayOnTrack	race	STAY ON THE TRACK!	
lapToast.tryAgain	race	TRY AGAIN	
share.title.kicker	sharing	YOUR TURN	
share.title	sharing	SHARE YOUR TURN	
share.close.aria	sharing	Close Share Your Turn	
share.body	sharing	Send your best lap as a challenge. Anyone who races it can add their car and pass the challenge on.	
share.nameLabel	sharing	Your name in the challenge	
share.namePlaceholder	sharing	WRITE YOUR NAME HERE	
share.submit	sharing	SHARE YOUR TURN	
share.back	sharing	BACK	
share.newPb.aria	sharing	Share this new personal best as a YOUR TURN challenge	
share.track.aria	sharing	Share your best lap on {trackName} as a YOUR TURN challenge	
share.track.none.aria	sharing	No shareable best lap on {trackName}	
share.carFallback	sharing	Car	
share.validation.name	sharing	Write your name before sharing.	
share.preparing	sharing	Preparing challenge link…	
share.native.title	sharing	{racerName} sends you YOUR TURN	
share.native.text	sharing	{racerName} challenges you on {trackName} with {time}. Your turn.	
share.copied.short	sharing	Short challenge link copied.	
share.copied	sharing	Challenge link copied.	
share.error	sharing	The challenge could not be shared.	
feedback.emailSubject	about	TURN feedback	
feedback.status.copied	about	Email address copied: {email}	
feedback.status.failed	about	Could not copy automatically. The email address is {email}.	
feedback.copied	about	COPIED	
feedback.kicker	about	HELP MAKE TURN BETTER	
feedback.title	about	GIVE FEEDBACK	
feedback.close.aria	about	Close Give Feedback	
feedback.lead	about	Found a bug, an accessibility barrier or something that made TURN harder to use? Tell us what happened and what you expected.	
feedback.body	about	Feature ideas and improvement suggestions are welcome too. Feedback from every kind of player helps make TURN better for everyone. Mention your device, browser or assistive technology when it is relevant.	
feedback.email	about	EMAIL FEEDBACK	
feedback.copyEmail	about	COPY EMAIL ADDRESS	
about.kicker	about	THE GAME	
about.title	about	ABOUT TURN	
about.close.aria	about	Close About TURN	
about.lead	about	TURN is a racing game about tilt steering, personal rivals and learning to drive by ear.	
about.summary	about	Built through inclusive and universal design so players can use sight, sound, touch, motion, a keyboard or assistive technology.	
about.credits	about	© 2026 enkel.design. Created by Erik Jansson, aided by OpenAI Codex. Game assets include Kenney Game Assets. Drive By Ear™ is inspired by RAD – Racing Auditory Display.	
about.privacy.summary	about	PRIVACY & USAGE STATISTICS	
about.privacy.1	about	TURN sends a few anonymous gameplay events to Cloudflare after a race starts so enkel.design can see whether the game is being played, which tracks and cars are used, and where the game may need improvement.	
about.privacy.2	about	The events can include TURN or YOUR TURN, app build, track, car, motion or manual steering, browser or installed web app, Drive By Ear and blank-screen state, valid or void laps and lap time.	
about.privacy.3	about	TURN’s analytics payload does not include your name, challenge name, challenge link or ID, replay, driving path, control inputs, advertising identifiers, IP address or precise location. Cloudflare processes normal network request information while carrying the events, but TURN does not add that information to its gameplay statistics.	
about.privacy.4	about	TURN sets no analytics cookie and creates no persistent analytics identifier. A random identifier exists only in memory for the current page load so events from that one play session can be grouped; it disappears when the page is closed or reloaded.	
about.privacy.5	about	TURN keeps anonymous daily aggregate statistics in Cloudflare D1 for the private developer dashboard. It does not keep raw gameplay-event histories in that database. The statistics are not public and are not used for advertising.	
about.history.action	about	HISTORY AND CHANGELOG	
about.history.kicker	about	FROM FIRST PROTOTYPE TO TODAY	
about.history.title	about	TURN HISTORY	
about.history.close.aria	about	Close TURN history	
about.history.tabs.aria	about	TURN history sections	
about.history.development	about	DEVELOPMENT HISTORY	
about.history.changelog	about	CHANGELOG	
about.history.intro	about	TURN grew from a one-day sensor experiment into a six-track racing PWA with personal rivals, a fifteen-car garage, Drive By Ear, assistive-technology support and Trophy Road progression. This is the development story rather than a raw list of commits.	
about.changelog.intro	about	Meaningful player-facing, accessibility, architecture, performance and content changes are consolidated by date. Reverted experiments remain visible because they explain the product decisions that followed.	
about.history.entry01.period	about	18–19 July 2026	
about.history.entry01.title	about	From sensor experiment to modular racer	
about.history.entry01.paragraph1	about	TURN began as a mobile prototype built around one unusual idea: hold a phone or tablet in landscape and rotate it like a steering wheel.	
about.history.entry01.paragraph2	about	The first day established the Three.js road, motion steering, touch driving, drift-oriented physics, lap timing, saved rivals and PWA installation. TURN LAB then split the fast prototype into explicit race, input, physics, rendering, replay, track and interface modules before the verified R7 runtime replaced production.	
about.history.entry01.milestone1	about	Sensor-steered prototype and Three.js world	
about.history.entry01.milestone2	about	Mobile HUD, touch controls and personal rival recordings	
about.history.entry01.milestone3	about	Protected TURN LAB refactor and R7 production baseline	
about.history.entry02.period	about	19–22 July	
about.history.entry02.title	about	The Lot and dependable racing	
about.history.entry02.paragraph1	about	TURN became a small racing game rather than a single-car experiment. The Lot introduced fifteen vehicles, a rotating 3D viewer, paint and an eighteen-point stat budget built around trade-offs.	
about.history.entry02.paragraph2	about	The same period made racing trustworthy: ordered swept checkpoints, a physical start and finish line, brake-before-reverse behaviour, clearer lap results, restart handling and systematic model-orientation corrections.	
about.history.entry02.milestone1	about	Fifteen-car garage with balanced attributes	
about.history.entry02.milestone2	about	Unified thumb-operated drive surface	
about.history.entry02.milestone3	about	Reliable checkpoints, lap validity and result presentation	
about.history.entry03.period	about	22–25 July	
about.history.entry03.title	about	One course becomes a track platform	
about.history.entry03.paragraph1	about	Countryside gained Airport, then Cliffside and Harbor. Each track exposed another hard-coded assumption and pushed the runtime toward a generic registry for identity, storage, atmosphere, collision, elevation and activation.	
about.history.entry03.paragraph2	about	Track cards evolved into postcards with best times and the actual record-setting car. World containment, scenery colliders, elevation-aware presentation and event-driven rendering work prepared the game for continued expansion.	
about.history.entry03.milestone1	about	Airport, elevated Cliffside and Harbor	
about.history.entry03.milestone2	about	Track-scoped records and generic runtime registry	
about.history.entry03.milestone3	about	World collision, elevation and performance architecture	
about.history.entry04.period	about	26–28 July	
about.history.entry04.title	about	Drive By Ear becomes a driving language	
about.history.entry04.paragraph1	about	Engine and tyre feedback expanded into Drive By Ear: spatial guidance designed to help every player and, together with a screen reader, support complete non-visual play.	
about.history.entry04.paragraph2	about	Early separate cues were consolidated into a layered hierarchy with an organic steering ribbon, off-road recovery, wrong-way priority, directional rivals and hand-authored pace notes. Device recordings repeatedly corrected channel direction, recovery meaning, speech priority and rare note loss.	
about.history.entry04.milestone1	about	All-track pace notes and central audio mixer	
about.history.entry04.milestone2	about	One consistent steer-toward-the-sound rule	
about.history.entry04.milestone3	about	Delivery-critical route guidance and screen-reader race speech	
about.history.entry05.period	about	28–31 July	
about.history.entry05.title	about	TURN NEXT validates the platform refactor	
about.history.entry05.paragraph1	about	TURN NEXT was created as an isolated PWA with separate storage, then used to stage motion, display and race-session architecture without putting production records at risk.	
about.history.entry05.paragraph2	about	A whole-screen orientation-freeze experiment was rejected after physical iOS testing. The accepted web solution became a truthful ±24° operating envelope with directional, non-flashing visual feedback plus audio, haptics and first-per-side screen-reader announcements.	
about.history.entry05.paragraph3	about	The M5–M8 programme also replaced the old startup loop with Home → track → The Lot → introduction → race.	
about.history.entry05.milestone1	about	Platform-owned motion and display lifecycle	
about.history.entry05.milestone2	about	Validated 24° steering and horizon safe zone	
about.history.entry05.milestone3	about	Home, consolidated Settings and central session orchestration	
about.history.entry06.period	about	29 July–2 August	
about.history.entry06.title	about	Accessibility becomes structural	
about.history.entry06.paragraph1	about	Accessibility work changed information architecture and interaction rather than merely adding labels. The Lot became a keyboard-friendly radio group with complete car descriptions, human-readable paint colours and deliberate heading navigation.	
about.history.entry06.paragraph2	about	VoiceOver testing invalidated two plausible ARIA techniques, so TURN replaced them with real hidden summary text and selected-first DOM ordering. Dialog focus return, installation guidance, motion-denial recovery, external-keyboard controls and non-visual instructions were hardened in the same period.	
about.history.entry06.milestone1	about	Complete keyboard and assistive-technology car selection	
about.history.entry06.milestone2	about	Composed lap speech and managed position announcements	
about.history.entry06.milestone3	about	Browser-aware installation and truthful device support	
about.history.entry07.period	about	31 July–2 August	
about.history.entry07.title	about	Midnight City and a living design system	
about.history.entry07.paragraph1	about	Midnight City became TURN’s fifth and longest track. Its first boulevard layout was rebuilt into distinct districts with parks, skyline, neon lore, a cinematic introduction and a deliberately hidden LILYA portrait.	
about.history.entry07.paragraph2	about	The longer 1,080-sample route exposed a progress-normalisation defect that moved pace notes to two-thirds of their intended positions. Geometry-backed direction tests and sample-aware timing now protect the track.	
about.history.entry07.paragraph3	about	A living design-system reference and shared semantic tokens established stable colour, control, form, disclosure, radius, border and shadow rules without flattening track personality.	
about.history.entry07.milestone1	about	Five-track game with a long night-city course	
about.history.entry07.milestone2	about	Geometry-backed Midnight City pace-note validation	
about.history.entry07.milestone3	about	Production semantic tokens and design reference	
about.history.entry08.period	about	3 August	
about.history.entry08.title	about	Emergency vehicles and blank-screen play	
about.history.entry08.paragraph1	about	Fire Truck, Police Car and Ambulance replaced three garage vehicles. Fixed service liveries, large Boost tanks, flashing lights and vehicle-specific procedural sirens made Boost part of each vehicle’s identity.	
about.history.entry08.paragraph2	about	Blank-screen mode then covered the visual game with true black while retaining controls, tilt steering, audio and assistive-technology access. Drive By Ear can be enabled temporarily for that session without overwriting the player’s preference.	
about.history.entry08.milestone1	about	Three fixed-livery emergency vehicles	
about.history.entry08.milestone2	about	Boost-controlled lights and sirens	
about.history.entry08.milestone3	about	Audio-only play with temporary Drive By Ear activation	
about.history.entry09.period	about	3–5 August	
about.history.entry09.title	about	Achievements become Trophy Road	
about.history.entry09.paragraph1	about	An offline-first achievement collection grew from onboarding challenges into non-visual play, developer time trials, emergency-vehicle challenges, all-track rival and clean-driving goals, and hidden discoveries including Bella in Countryside.	
about.history.entry09.paragraph2	about	Points became permanent trophies. Trophy Road now unlocks Midnight City, Future Racer, Paintjob, the Emergency Pack and Monster Truck while grandfathering existing profiles.	
about.history.entry09.paragraph3	about	A serious Home-to-Lot freeze was eventually traced to a Paintjob MutationObserver that repeatedly changed the subtree it watched. The fix narrowed ownership and added a regression for the self-triggering pattern.	
about.history.entry09.milestone1	about	28 achievements and 1,700 available trophies	
about.history.entry09.milestone2	about	Persistent content rewards and legacy-player migration	
about.history.entry09.milestone3	about	Critical observer-loop diagnosis and prevention	
about.history.entry10.period	about	4–6 August	
about.history.entry10.title	about	Stabilization and progression	
about.history.entry10.paragraph1	about	TURN 1.5.0 added a branded loading cover, stable iOS Home sizing, compact Paintjob locking and new-achievement markers.	
about.history.entry10.paragraph2	about	TURN 1.5.1 corrected Trophy Road’s initial reward card, transitions between 3D and line-art previews and the Paintjob lower rail. TURN 1.5.2 consolidated the later interface, progression, achievement and accessibility work together with the corrected usable iOS standalone viewport.	
about.history.entry10.paragraph3	about	The game entered a refinement and hardening phase with five tracks, fifteen garage slots, local rivals, a mature non-visual audio system, assistive-technology navigation and persistent progression.	
about.history.entry10.milestone1	about	TURN 1.5.2 · 2026.08.06-r161 stabilization baseline	
about.history.entry10.milestone2	about	Post-r160 interface, progression, achievement and viewport stabilization	
about.history.entry10.milestone3	about	Sixty-plus production regression gates plus DBE training tests	
about.history.entry11.period	about	6–8 August	
about.history.entry11.title	about	YOUR TURN makes personal rivals social	
about.history.entry11.paragraph1	about	YOUR TURN grew from a focused recipient prototype into a browser-first social challenge flow that reuses TURN’s canonical track, vehicle, replay, audio and accessibility systems. TURN can now share the selected track’s stored best lap from Home and offer sharing directly from a new-personal-best lap result.	
about.history.entry11.paragraph2	about	Recipients can race the challenge repeatedly, add their own named car and pass the challenge on. Growing chains preserve stable racer identities, keep up to four rival replays, stage the field together at the start and use player name plates and deliberate social colours instead of anonymous ghost language.	
about.history.entry11.paragraph3	about	The first self-contained links proved too large for dependable social previews as a chain grew. A lightweight Cloudflare Worker and D1 snapshot store now turns the same immutable challenge payload into a short enkel.design link, while the complete self-contained link remains an automatic fallback. TURN and YOUR TURN also share one About presentation and credit Kenney Game Assets.	
about.history.entry11.milestone1	about	TURN → YOUR TURN sharing from Home and personal-best results	
about.history.entry11.milestone2	about	Growing named multi-racer challenge chains with stable identities	
about.history.entry11.milestone3	about	Canonical release: TURN 1.6.0 · 2026.08.08-r162	
about.history.entry12.period	about	8–9 August	
about.history.entry12.title	about	A color-based achievement triggers an accessibility patch	
about.history.entry12.paragraph1	about	CHROMATIC CAMOUFLAGE added a hidden 50-trophy challenge built around the five production track colours. It checks the current personal best on every track and deliberately accepts broad hue families rather than exact paint values, bringing the collection to 29 achievements and 1,750 available trophies. Device testing widened Countryside’s accepted pink family so canonical #FF00FF Magenta is not rejected on a five-degree technicality.	
